Nombre,web_url,estado_actual,prueba_codificación,año_lanzamiento_digital,fecha_lanzamiento_digital,fecha_de_inactividad,enfoque,web_plataforma,papel_plataforma,tv_plataforma,radio_plataforma,app_plataforma,multiplataforma_sumatorio,medio_nativo,facebook_url,twitter_url,youtube_url,instagram_url,telegram_url,podcast,podcast_nativo,podcast_no_nativo,ojd,ojd_url,temporalidad,info_general,info_especializada,tema,tema_esp_principal,tema_esp_secundario,alcance,alcance_global,titularidad,finalidad_economica,publicidad_convencional,contenido_patrocinado,suscripcion_socios_pago,donaciones,ayudas_publicas_o_privadas,comercio_electronico,otras_vias_consultoria_eventos,especificar_otras,sumatorio_ingresos,castellano,catalán,gallego,euskera,aragonés,asturiano,valenciano,inglés,alemán,otra_lengua,especificar_lengua,grupo_editor,empresa,tipo_empresa,domicilio_social,codigo_postal,comunidad_autónoma,provincia,municipio,asociación,DNR,observac_hasta_2020,observac_desde_2021,ref1,ref2,ref3,ref4,ref5,id
¡Ah! Magazine,http://www.ahmagazine.es/,activo,Sí,2014,ND,ND,periodístico,1,0,0,0,0,1,1,https://www.facebook.com/ahmagazine,https://twitter.com/ahmagazine_es,No,https://www.instagram.com/ahmagazine_es/,No,0,0,0,ND,ND,continuo,0,1,Otros,Arte contemporáneo,Diseño e ilustración,nacional,,privada,ND,0,0,0,0,0,0,0,-,0,1,0,0,0,0,0,0,0,0,0,-,,ND,ND,ND,28009,Madrid; Comunidad de,Madrid,Madrid,ND,ND,,,,,,,,1
¡Qué Me Dices!,http://quemedices.diezminutos.es/,activo,Sí,ND,ND,ND,periodístico,1,1,0,0,0,2,0,https://www.facebook.com/revistaQMD,https://twitter.com/revistaQMD,https://www.youtube.com/user/qmdtv,https://www.instagram.com/revistaqmd/,No,0,0,0,ND,ND,multitemporal,0,1,Ocio y entretenimiento,Celebridades,,nacional,,privada,ND,1,0,0,0,0,1,0,-,2,1,0,0,0,0,0,0,0,0,0,-,Hearst,Hearst España S.L.,SL,"Santa Engracia, 23 de Madrid, 28010",28010,Madrid; Comunidad de,Madrid,Madrid,ND,ND,,,,,,,,2
12 Pulgadas,http://www.12pulgadas12.com,inactivo,,2014,10/02/2014,15/12/2018,periodístico,1,,,,,1,1,https://www.facebook.com/12pulgadas12,https://twitter.com/12pulgadas12,,,,ND,ND,ND,ND,ND,periódico,,,,,,nacional,,privada,ND,,,,,,,,-,0,1,0,0,0,0,0,0,0,0,0,-,,ND,ND,ND,ND,País Vasco,Gipuzkoa,Donostia,ND,ND,,,,,,,,3
12TV,http://www.12tv.es/,activo,Sí,ND,ND,ND,periodístico,1,0,1,0,0,2,0,https://www.facebook.com/12tv.es,https://twitter.com/12tv_es,https://www.youtube.com/channel/UCCK1EcaDFEhYCvWawzf2QAw,https://www.instagram.com/12endigital/,No,1,1,0,ND,ND,continuo,1,0,General,,,local,,privada,ND,1,1,0,0,0,0,0,-,2,1,0,0,0,0,0,0,0,0,0,-,,Grupo empresarial 12TV,ND,"Rafael Altamira, 2 - 03001 Alicante",03001,Comunitat Valenciana,Alicante/Alacant,Alicante,ND,ND,,,,,,,,4
13 TV,http://www.13tv.es/,activo,Sí,ND,ND,ND,periodístico,1,0,1,0,1,3,0,https://www.facebook.com/13television,https://twitter.com/13tv_es,https://www.youtube.com/channel/UC-RtbUNPXTSxlHjG13NU5gA,https://www.instagram.com/trece_es,No,1,1,1,ND,ND,no identificado,1,0,General,,,nacional,,privada,ND,1,0,0,0,0,0,0,-,1,1,0,0,0,0,0,0,0,0,0,-,,13 Tv S.A.,SA,Francisco Tomás y Valiente s/n - Boadilla del Monte 28660 Madrid.,28660,Madrid; Comunidad de,Madrid,Boadilla del Monte,ND,ND,,,,,,,,5
20 Minutos,http://www.20minutos.es/,activo,Sí,2005,ND,ND,periodístico,1,1,0,0,1,3,0,https://www.facebook.com/20minutos.es,https://twitter.com/20m,https://www.youtube.com/user/20minutos,https://www.instagram.com/20m/,No,0,0,0,ND,ND,multitemporal,1,0,General,,,nacional,,privada,CON fines de lucro,1,1,0,0,0,1,0,-,3,1,0,0,0,0,0,0,0,0,0,-,Henneo,"20 Minutos Editora, SL",SL,"Condesa de Venadito, 1 2ª planta – 28027 Madrid",28027,Madrid; Comunidad de,Madrid,Madrid,ND,ND,Segmentación informativa por ciudades de toda España,,http://www.20minutos.es/especial/corporativo/quienes-somos,,,,,6
21 Iguales,http://www.21iguales.com/,activo,Sí,2013,10/06/2013,ND,periodístico,1,0,0,0,0,1,1,https://www.facebook.com/VentiunoIguales,https://twitter.com/21iguales,https://www.youtube.com/channel/UC3_0DATVE4f8K87OnSPhqvw,https://www.instagram.com/21igualespelota/,No,0,0,0,ND,ND,continuo,0,1,Deportes,Pelota vasca,,local,,privada,CON fines de lucro,1,0,0,0,0,0,0,-,1,1,0,0,0,0,0,0,0,0,0,-,,ND,ND,"Paseo Constitución, 20 - 5J - Arnedo - CP: 26580",26580,Rioja; La,La Rioja,Logroño,ND,ND,,,,,,,,7
243 Cat,http://243cat.wordpress.com/,inactivo,,2012,05/10/2012,17/11/2015,no periodístico,1,,,,,1,1,https://www.facebook.com/243Cat-375129259233829,https://twitter.com/243cat,,,,ND,ND,ND,ND,ND,continuo,,,,,,local,,privada,ND,,,,,,,,-,0,0,1,0,0,0,0,0,0,0,0,-,,ND,ND,ND,ND,Cataluña,Barcelona,Barcelona,ND,ND,,,,,,,,8
25 Televisió,http://www.25televisio.com/,activo,Sí,ND,ND,ND,periodístico,1,0,1,0,0,2,0,https://www.facebook.com/25tv-298335373532952/,https://twitter.com/25televivisio,No,No,No,0,0,0,ND,ND,continuo,1,0,General,,,local,,privada,ND,1,0,0,0,0,0,0,-,1,0,1,0,0,0,0,0,0,0,0,-,,Gibson Time S.L.U,SLU,Avenida Diagonal 441 - 4t A - 08036 Barcelona',08036,Cataluña,Barcelona,Barcelona,ND,ND,unav-Breiner-26/04/2017,,,,,,,9
28 Kanala,http://www.28kanala.eus/,activo,Sí,ND,ND,ND,periodístico,1,0,1,1,0,3,0,https://www.facebook.com/28kanala,https://twitter.com/28kanala,http://www.youtube.com/28kanala,https://www.instagram.com/28kanala.eus/,No,0,0,0,ND,ND,ND,1,0,General,,,local,,privada,ND,1,0,0,0,1,0,0,-,2,0,0,0,1,0,0,0,0,0,0,-,,ND,ND,San Esteban 20 Tolosa (Gipuzkoa),20400,País Vasco,Gipuzkoa,Tolosa,Tokikom,ND,,,,,,,,10
