ID,TITLE,ACTIVE,URL_web,URL_facebook,URL_twitter,URL_youtube,URL_instagram,URL_telegram,URL_tiktok,URL_linkedin,DATE_START_year_offline,DATE_START_year_digital,DATE_START_day_digital,DATE_END_year_digital,DATE_END_day_digital,LOCATION_country,LOCATION_company_address,LOCATION_company_zipcode,LOCATION_town,REACH,NATIVE,PUBLISHER_media_group,PUBLISHER_company_name,PODCAST_offered,PODCAST_native,TOPIC_general_information,TOPIC_special_topic,TOPIC_special_topic_description,OWNERSHIP,DNR,ID_original,lat,lng,REVENUE_specify_other,LANGUAGE_specify_other,createdAt,updatedAt,publishedAt,platforms,languages,revenues,province,region,,,,,,,,,,,,
1,100% DEEJAY,true,http://www.deejay.pt,https://www.facebook.com/100porcentoDJ/,https://twitter.com/100porcentodj,https://www.youtube.com/user/100porcentodj,https://www.instagram.com/deejay.pt/,,,,2018,2018,2018-01-19,,,PT,"Rua Magalhães de Lima, 17 - 1.º Dto",7100-552,Estremoz,national,true,,,false,false,false,Cultura (literatura, cine, música, arte),,private,false,PT_1,38.8424052,-7.5894999,,,2022-09-06T09:10:51.890Z,2023-01-27T11:11:30.185Z,2022-09-06T09:22:58.469Z,web,portuguese,"advertising, consultancy_events_and_other",Évora,Évora,,,,,,,,,
2,105.4 FM,true,https://http://www.1054cascais.com,https://www.facebook.com/105.4fm/,,,,,,,,2010,2010-10-27,,,PT,,,Cascais,local,false,,,false,false,false,Cultura (literatura, cine, música, arte),,private,false,PT_2,38.6970565,-9.4222945,,,2022-09-06T08:54:05.543Z,2023-02-02T12:40:08.410Z,2022-09-06T09:22:58.469Z,"radio, web",portuguese,advertising,Lisboa,Lisboa,,,,,,,,,
3,12 Pulgadas,false,http://www.12pulgadas12.com,https://www.facebook.com/12pulgadas12,https://twitter.com/12pulgadas12,,,,,,,2014,2014-02-10,2018,2018-12-15,ES,,,Donostia,national,true,,,,,,,,private,false,ES_2,43.318334,-1.9812313,,,2022-09-06T09:21:33.854Z,2023-01-27T11:12:19.085Z,2022-09-06T09:22:58.469Z,web,spanish,,Gipuzkoa,País Vasco,,,,,,,,,,,,
4,12TV,true,http://www.12tv.es/,https://www.facebook.com/12tv.es,https://twitter.com/12tv_es,https://www.youtube.com/channel/UCCK1EcaDFEhYCvWawzf2QAw,https://www.instagram.com/12endigital/,,,,,2014,,,,ES,"Rafael Altamira, 2 - 03001 Alicante",3001,Alicante,local,false,,Grupo empresarial 12TV,true,true,true,General,,private,false,ES_3,38.34424,-0.4829055,,,2022-09-06T09:21:50.683Z,2023-01-27T11:11:24.679Z,2022-09-06T09:22:58.469Z,"tv, web",spanish,"advertising, branded_content",Alicante/Alacant,Comunitat Valenciana,,,,,,,,,,,,
5,20 Minutos,true,http://www.20minutos.es/,https://www.facebook.com/20minutos.es,https://twitter.com/20m,https://www.youtube.com/user/20minutos,https://www.instagram.com/20m/,,,,,2005,,,,ES,"Condesa de Venadito, 1 2ª planta – 28027 Madrid",28027,Madrid,national,false,Henneo,"20 Minutos Editora, SL",false,false,true,General,,private,true,ES_4,40.4441667,-3.6566997,,,2022-09-06T09:16:50.258Z,2023-01-27T11:11:50.381Z,2022-09-06T09:22:58.469Z,"app, web, print",spanish,"branded_content, ecommerce, advertising",Madrid,Madrid, Comunidad de,,,,,,,,,,,
6,21 Iguales,true,http://www.21iguales.com/,https://www.facebook.com/VentiunoIguales,https://twitter.com/21iguales,https://www.youtube.com/channel/UC3_0DATVE4f8K87OnSPhqvw,https://www.instagram.com/21igualespelota/,,,,,2013,2013-06-10,,,ES,"Paseo Constitución, 20 - 5J - Arnedo - CP: 26580",26580,Logroño,local,true,,,false,false,false,Deportes,Pelota vasca,private,false,ES_5,42.2277341,-2.097131,,,2022-09-06T09:17:11.545Z,2023-01-27T11:12:24.949Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,La Rioja,Rioja, La,,,,,,,,,,,
7,243 Cat,false,http://243cat.wordpress.com/,https://www.facebook.com/243Cat-375129259233829,https://twitter.com/243cat,,,,,,,2012,2012-10-05,2015,2015-11-17,ES,,,Barcelona,local,true,,,,,,,,private,false,ES_6,41.3873974,2.168568,,,2022-09-06T09:22:21.535Z,2023-01-27T11:11:07.737Z,2022-09-06T09:22:58.469Z,web,catalan,,Barcelona,Cataluña,,,,,,,,,,,,
8,25 Televisió,true,http://www.25televisio.com/,https://www.facebook.com/25tv-298335373532952/,https://twitter.com/25televivisio,,,,,,,2009,,,,ES,Avenida Diagonal 441 - 4t A - 08036 Barcelona',8036,Barcelona,local,false,,Gibson Time S.L.U,false,false,true,General,,private,false,ES_7,41.3936619,2.1495211,,,2022-09-06T09:22:18.695Z,2023-01-27T11:11:07.757Z,2022-09-06T09:22:58.469Z,"tv, web",catalan,advertising,Barcelona,Cataluña,,,,,,,,,,,,
9,28 Kanala,true,http://www.28kanala.eus/,https://www.facebook.com/28kanala,https://twitter.com/28kanala,http://www.youtube.com/28kanala,https://www.instagram.com/28kanala.eus/,,,,,2014,,,,ES,San Esteban 20 Tolosa (Gipuzkoa),20400,Tolosa,local,false,,,false,false,true,General,,private,false,ES_8,43.1346243,-2.0830679,,,2022-09-06T09:17:11.587Z,2023-01-27T11:12:19.105Z,2022-09-06T09:22:58.469Z,"tv, web, radio",basque,"advertising, public_or_private_subsidies",Gipuzkoa,País Vasco,,,,,,,,,,,,
10,360 Grados Press,false,http://360gradospress.com,https://www.facebook.com/360gradospress,https://twitter.com/360gradospress,https://www.youtube.com/channel/UCUo9dGuYgkNHY6DxIZvu7XA,,,,,,2008,,2020,2020-08-01,ES,"Edificio ABM l'Andana 8º, 1ª Ronda de la Química, s/n 46980 Paterna (Valencia)",46980,Paterna,national,true,,"Soma Comunicación, SC",,,,,,private,false,ES_10,39.5442804,-0.4634313,,,2022-09-06T09:21:51.230Z,2023-01-27T11:11:27.244Z,2022-09-06T09:22:58.469Z,web,spanish,,Valencia/València,Comunitat Valenciana,,,,,,,,,,,,
